url_path,views_total,views_unique
/PacificBiosciences/sawfish,39,20
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,13,7
/PacificBiosciences/sawfish/tree/github-repo-stats,5,2
/PacificBiosciences/sawfish/issues,3,3
/PacificBiosciences/sawfish/issues/9,3,3
/Pacificbiosciences/sawfish,3,1
/PacificBiosciences/sawfish/tree/github-repo-stats/PacificBiosciences/sawfish/latest-report,3,1
/PacificBiosciences/sawfish/tree/main/data/expected_cn,3,1
/PacificBiosciences/sawfish/issues/10,2,2
/PacificBiosciences/sawfish/tree/github-repo-stats/PacificBiosciences/sawfish,2,2
