url_path,views_total,views_unique
/PacificBiosciences/sawfish,183,70
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,83,30
/PacificBiosciences/sawfish/issues,68,16
/PacificBiosciences/sawfish/issues/7,19,11
/PacificBiosciences/sawfish/issues/9,15,8
/PacificBiosciences/sawfish/issues/8,13,5
/PacificBiosciences/sawfish/releases/tag/v0.12.7,11,5
/PacificBiosciences/sawfish/actions/runs/12385004521/job/34570518795,10,1
/PacificBiosciences/sawfish/blob/main/docs/accuracy.md,9,4
/PacificBiosciences/sawfish/issues/10,7,4
