url_path,views_total,views_unique
/PacificBiosciences/sawfish,68,37
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,24,16
/PacificBiosciences/sawfish/tree/main,7,6
/PacificBiosciences/sawfish/issues,7,5
/PacificBiosciences/sawfish/tree/github-repo-stats,5,2
/PacificBiosciences/sawfish/tree/main/src,4,4
/PacificBiosciences/sawfish/tree/main/data,4,3
/PacificBiosciences/sawfish/tree/main/data/expected_cn,4,2
/PacificBiosciences/sawfish/issues/10,3,3
/PacificBiosciences/sawfish/releases/tag/v0.12.8,3,3
