url_path,views_total,views_unique
/PacificBiosciences/sawfish,193,78
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,80,36
/PacificBiosciences/sawfish/issues,56,16
/PacificBiosciences/sawfish/issues/7,23,11
/PacificBiosciences/sawfish/issues/8,13,5
/PacificBiosciences/sawfish/issues/9,11,7
/PacificBiosciences/sawfish/releases/tag/v0.12.7,10,5
/PacificBiosciences/sawfish/tree/main/data/expected_cn,10,4
/PacificBiosciences/sawfish/issues/6,8,5
/PacificBiosciences/sawfish/tree/main/data,8,4
