url_path,views_total,views_unique
/PacificBiosciences/sawfish,57,32
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,17,12
/PacificBiosciences/sawfish/issues,6,4
/PacificBiosciences/sawfish/tree/github-repo-stats,5,2
/PacificBiosciences/sawfish/releases/tag/v0.12.8,3,3
/PacificBiosciences/sawfish/tree/main,3,3
/Pacificbiosciences/sawfish,3,1
/PacificBiosciences/sawfish/tree/github-repo-stats/PacificBiosciences/sawfish/latest-report,3,1
/PacificBiosciences/sawfish/tree/main/data/expected_cn,3,1
/PacificBiosciences/sawfish/issues/10,2,2
