url_path,views_total,views_unique
/PacificBiosciences/sawfish,83,41
/PacificBiosciences/sawfish/blob/main/docs/user_guide.md,29,20
/PacificBiosciences/sawfish/issues,9,6
/PacificBiosciences/sawfish/tree/github-repo-stats/PacificBiosciences/sawfish,9,6
/PacificBiosciences/sawfish/tree/main,9,6
/PacificBiosciences/sawfish/blob/github-repo-stats/PacificBiosciences/sawfish/latest-report/report.pdf,7,3
/PacificBiosciences/sawfish/releases,7,3
/PacificBiosciences/sawfish/tree/main/data,6,5
/PacificBiosciences/sawfish/tree/github-repo-stats/PacificBiosciences/sawfish/latest-report,6,1
/PacificBiosciences/sawfish/releases/tag/v0.12.8,5,4
